subcategory_id,category_id,en,bg,hr,cs,da,nl,et,fi,fr,de,el,hu,ga,it,lv,lt,mt,pl,pt,ro,sk,sl,es,sv,tr,ru,uk,nb,no,icon,sort_order_subcategory,__match_score
SUB_000218,CAT_00047,Heritage Event Planner,Организатор на събития за наследство,Planer događaja vezanih uz baštinu,Heritage Event Planner,Heritage Event Planner,Erfgoed Evenementenplanner,Pärandiürituste planeerija,Heritage Tapahtumasuunnittelija,Organisateur d'événements patrimoniaux,Kulturerbe-Eventplaner,Heritage Event Planner,Örökség rendezvényszervező,Pleanálaí Imeachtaí Oidhreachta,Organizzatore di eventi storici,Mantojuma pasākumu plānotājs,Paveldo renginių planuotojas,Wirt Event Planner,Planista wydarzeń związanych z dziedzictwem,Planejador de eventos de patrimônio,Heritage Event Planner,Heritage Event Planner,Načrtovalec dogodkov v zvezi z dediščino,Planificador de eventos patrimoniales,Arvsevenemangsplanerare,Miras Etkinlik Planlayıcısı,Организатор мероприятий в сфере наследия,Організатор подій спадщини,Heritage Event Planner,Heritage Event Planner,,,0.6111111111111112
SUB_000219,CAT_00490,Community Interpreter,Обществен преводач,Tumač zajednice,Komunitní tlumočník,Samfundstolk,Gemeenschapstolk,kogukonna tõlk,Yhteisön tulkki,interprète communautaire,Gemeinschaftsdolmetscher,Κοινοτικός Διερμηνέας,Közösségi tolmács,Ateangaire Pobail,Interprete di comunità,Kopienas tulks,Bendruomenės vertėjas,Interpretu tal-Komunità,Tłumacz społecznościowy,Intérprete Comunitário,Interpret comunitar,Komunitný tlmočník,Tolmač skupnosti,Intérprete comunitario,Gemenskapstolk,Topluluk Tercümanı,Общественный переводчик,Громадський перекладач,Samfunnstolk,Samfunnstolk,,,0.6666666666666666
SUB_000220,CAT_00014,Community Mediator,Обществен медиатор,Medijator zajednice,Komunitní mediátor,Samfundsmægler,Gemeenschapsbemiddelaar,Kogukonna vahendaja,Yhteisön sovittelija,Médiateur communautaire,Community-Mediator,Κοινοτικός Διαμεσολαβητής,Közösségi közvetítő,Idirghabhálaí Pobail,Mediatore di comunità,Sabiedrības starpnieks,Bendruomenės tarpininkas,Medjatur tal-Komunità,Mediator społecznościowy,Mediador Comunitário,Mediator comunitar,Komunitný mediátor,Mediator skupnosti,Mediador comunitario,Samhällsmedlare,Topluluk Arabulucusu,Общественный посредник,Громадський посередник,Fellesskapsformidler,Fellesskapsformidler,,,0.75
SUB_000221,CAT_00579,Neighborhood Activities Coordinator,Координатор на кварталните дейности,Koordinator aktivnosti u susjedstvu,Koordinátor sousedských aktivit,Koordinator for kvarteraktiviteter,Coördinator Buurtactiviteiten,Naabruskonna tegevuste koordinaator,Naapuruston toiminnan koordinaattori,Coordonnateur des activités de quartier,Koordinator für Nachbarschaftsaktivitäten,Συντονιστής Δραστηριοτήτων Γειτονιάς,A szomszédsági tevékenységek koordinátora,Comhordaitheoir Gníomhaíochtaí Comharsanachta,Coordinatore delle attività di quartiere,Apkaimes aktivitāšu koordinators,Kaimynystės veiklos koordinatorius,Koordinatur tal-Attivitajiet tal-Viċinat,Koordynator ds. działań sąsiedzkich,Coordenador de Atividades de Bairro,Coordonator Activități de Cartier,Koordinátor susedských aktivít,Koordinator sosedskih dejavnosti,Coordinador de Actividades del Vecindario,Samordnare av grannskapsaktiviteter,Mahalle Faaliyetleri Koordinatörü,Координатор мероприятий местного сообщества,Координатор добросусідської діяльності,Koordinator for nabolagsaktiviteter,Koordinator for nabolagsaktiviteter,,,0.5925925925925926
SUB_000222,CAT_00241,Asylum Support Worker,Работник в подкрепа на убежището,Radnik za podršku azilu,Azylová podpůrná pracovnice,Asylstøttemedarbejder,Asielondersteuningsmedewerker,Varjupaigaküsimuste tugitöötaja,Turvapaikan tukityöntekijä,Travailleur de soutien aux demandeurs d'asile,Asylbetreuer,Υπάλληλος Υποστήριξης Ασύλου,Menekültügyi Kisegítő Dolgozó,Oibrí Tacaíochta Tearmainn,Operatore di supporto per l'asilo,Patvēruma atbalsta darbinieks,Prieglobsčio pagalbos darbuotojas,Ħaddiem ta' Appoġġ fl-Ażil,Pracownik wsparcia azylowego,Assistente de Apoio a Asilo,Lucrător de sprijin pentru azil,Azylová pomocná pracovníčka,Podporni delavec za azil,Trabajador de apoyo al asilo,Asylstödsarbetare,Sığınma Destek Çalışanı,Сотрудник службы поддержки просителей убежища,Працівник служби підтримки притулку,Asylstøttearbeider,Asylstøttearbeider,,,0.6060606060606061
SUB_000223,CAT_00573,LGBTQ+ Elder Companion,LGBTQ+ по-възрастен спътник,LGBTQ+ stariji pratitelj,LGBTQ+ starší společník,LGBTQ+ ældre ledsager,LGBTQ+ Oudere Metgezel,LGBTQ+ vanem kaaslane,LGBTQ+ vanhin seuralainen,Compagnon aîné LGBTQ+,LGBTQ+ Älterer Begleiter,LGBTQ+ Elder Companion,LMBTQ+ idős társ,Compánach Daoine Scothaosta LGBTQ+,Compagno anziano LGBTQ+,LGBTQ+ vecākais kompanjons,LGBTQ+ vyresnio amžiaus kompanionas,LGBTQ+ Anzjan Kumpann,Towarzysz starszy LGBTQ+,Companheiro LGBTQ+ Idoso,LGBTQ+ Elder Companion,LGBTQ+ starší spoločník,LGBTQ+ starejši spremljevalec,Compañero mayor LGBTQ+,HBTQ+ äldre följeslagare,LGBTQ+ Yaşlı Arkadaş,ЛГБТК+ пожилой компаньон,ЛГБТК+ старший компаньйон,LGBTQ+ Elder Companion,LGBTQ+ Elder Companion,,,0.5405405405405406
SUB_000224,CAT_00620,Language Preservation Coach,Треньор по запазване на езика,Trener za očuvanje jezika,Trenér jazykové ochrany,Coach for sprogbevarelse,Taalbehoudcoach,Keele säilitamise treener,Kielensuojeluvalmentaja,Coach en préservation de la langue,Spracherhaltungscoach,Προπονητής Διατήρησης Γλωσσών,Nyelvmegőrző edző,Oiliúnóir do Chaomhnú Teanga,Coach per la conservazione della lingua,Valodas saglabāšanas treneris,Kalbos išsaugojimo treneris,Kowċ tal-Preservazzjoni tal-Lingwa,Trener zachowania języka,Coach de Preservação da Linguagem,Antrenor de conservare a limbii,Tréner ochrany jazyka,Trener za ohranjanje jezika,Entrenador de preservación del lenguaje,Coach för språkvård,Dil Koruma Koçu,Тренер по сохранению языка,Тренер зі збереження мови,Coach for språkbevaring,Coach for språkbevaring,,,0.6818181818181818
SUB_000225,CAT_00651,Corporate Surveillance Auditor,Одитор за корпоративен надзор,Revizor korporativnog nadzora,Auditor podnikového dozoru,Corporate Surveillance Auditor,Bedrijfstoezichthouder,Ettevõtte järelevalve audiitor,Yritysvalvonnan tilintarkastaja,Auditeur de surveillance d'entreprise,Auditor für Unternehmensüberwachung,Ελεγκτής Εταιρικής Εποπτείας,Vállalati felügyeleti könyvvizsgáló,Iniúchóir Faireachais Corparáideach,Revisore dei conti della vigilanza aziendale,Korporatīvās uzraudzības auditors,Įmonės priežiūros auditorius,Awditur tas-Sorveljanza Korporattiva,Audytor nadzoru korporacyjnego,Auditor de Vigilância Corporativa,Auditor de supraveghere corporativă,Firemný dozorný audítor,Revizor korporativnega nadzora,Auditor de Vigilancia Corporativa,Corporate Surveillance Auditor,Kurumsal Gözetim Denetçisi,Аудитор корпоративного надзора,Аудитор з корпоративного нагляду,Corporate Surveillance Auditor,Corporate Surveillance Auditor,,,0.6037735849056604
SUB_000226,CAT_00278,GDPR Implementation Officer,Служител по внедряване на GDPR,Službenik za implementaciju GDPR-a,Pověřenec pro implementaci GDPR,GDPR Implementation Officer,AVG-implementatiefunctionaris,GDPR-i rakendamise ametnik,GDPR:n täytäntöönpanovastaava,Responsable de la mise en œuvre du RGPD,DSGVO-Umsetzungsbeauftragter,Υπεύθυνος Εφαρμογής GDPR,GDPR végrehajtási tiszt,Oifigeach Forfheidhmithe GDPR,Responsabile dell'implementazione del GDPR,GDPR ieviešanas darbinieks,GDPR įgyvendinimo pareigūnas,Uffiċjal għall-Implimentazzjoni tal-GDPR,Specjalista ds. wdrażania RODO,Responsável pela Implementação do RGPD,Ofițer de implementare GDPR,Úradník pre implementáciu GDPR,Pooblaščenec za implementacijo GDPR,Responsable de implementación del RGPD,GDPR Implementation Officer,GDPR Uygulama Görevlisi,Сотрудник по внедрению GDPR,Відповідальний за імплементацію GDPR,GDPR-implementeringsansvarlig,GDPR-implementeringsansvarlig,,,0.5384615384615384
SUB_000227,CAT_00347,Risk Assessment Trainer,Обучител по оценка на риска,Trener za procjenu rizika,Trenér hodnocení rizik,Underviser i risikovurdering,Trainer Risicobeoordeling,Riskianalüüsi koolitaja,Riskinarvioinnin kouluttaja,Formateur en évaluation des risques,Trainer für Risikobewertung,Εκπαιδευτής αξιολόγησης κινδύνου,Kockázatértékelési tréner,Oiliúnóir do Mheasúnú Riosca,Formatore per la valutazione del rischio,Riska novērtēšanas treneris,Rizikos vertinimo treneris,Trainer għall-Valutazzjoni tar-Riskju,Trener oceny ryzyka,Instrutor de Avaliação de Riscos,Trainer în evaluarea riscurilor,Tréner hodnotenia rizík,Trener za oceno tveganja,Entrenador en evaluación de riesgos,Utbildare för riskbedömning,Risk Değerlendirme Eğitmeni,Тренер по оценке рисков,Тренер з оцінки ризиків,Trener for risikovurdering,Trener for risikovurdering,,,0.5365853658536586
SUB_000228,CAT_00142,Acoustic Ceiling Systems,Акустични таванни системи,Akustični stropni sustavi,Akustické stropní systémy,Akustiske loftsystemer,Akoestische plafondsystemen,Akustilised laesüsteemid,Akustiset kattojärjestelmät,Systèmes de plafond acoustique,Akustikdeckensysteme,Συστήματα Ακουστικής Οροφής,Akusztikus mennyezeti rendszerek,Córais Fuaimiúil Uasteorainn,Sistemi di controsoffitti acustici,Akustiskās griestu sistēmas,Akustinės lubų sistemos,Sistemi ta' Limitu Akustiku,Systemy sufitów akustycznych,Sistemas de teto acústico,Sisteme de tavane acustice,Akustické stropné systémy,Akustični stropni sistemi,Sistemas de techo acústico,Akustiska taksystem,Akustik Tavan Sistemleri,Акустические потолочные системы,Акустичні стельові системи,Akustiske taksystemer,Akustiske taksystemer,,,0.6
SUB_000229,CAT_00480,Noise Measurement,Измерване на шума,Mjerenje buke,Měření hluku,Støjmåling,Geluidsmeting,Müra mõõtmine,Melun mittaus,Mesure du bruit,Geräuschmessung,Μέτρηση Θορύβου,Zajmérés,Tomhas Torainn,Misurazione del rumore,Trokšņa mērīšana,Triukšmo matavimas,Kejl tal-Ħoss,Pomiar hałasu,Medição de Ruído,Măsurarea zgomotului,Meranie hluku,Merjenje hrupa,Medición de ruido,Bullermätning,Gürültü Ölçümü,Измерение шума,Вимірювання шуму,Støymåling,Støymåling,,,0.631578947368421
SUB_000230,CAT_00562,Sound Insulation Panels,Звукоизолационни панели,Paneli za zvučnu izolaciju,Zvukově izolační panely,Lydisoleringspaneler,Geluidsisolatiepanelen,Heliisolatsioonipaneelid,Äänieristyspaneelit,Panneaux d'isolation acoustique,Schallschutzplatten,Ηχομονωτικά Πάνελ,Hangszigetelő panelek,Painéil Inslithe Fuaime,Pannelli fonoisolanti,Skaņas izolācijas paneļi,Garso izoliacinės plokštės,Pannelli tal-Insulazzjoni tal-Ħoss,Panele izolacji akustycznej,Painéis de Isolamento Acústico,Panouri de izolare fonică,Zvukovo izolačné panely,Zvočno izolacijske plošče,Paneles de aislamiento acústico,Ljudisoleringspaneler,Ses Yalıtım Panelleri,Звукоизоляционные панели,Звукоізоляційні панелі,Lydisolasjonspaneler,Lydisolasjonspaneler,,,0.5454545454545454
SUB_000231,CAT_00142,Airport Lighting Systems,Летищни осветителни системи,Sustavi zračne rasvjete,Letištní osvětlovací systémy,Lufthavnsbelysningssystemer,Luchthavenverlichtingssystemen,Lennujaama valgustussüsteemid,Lentokentän valaistusjärjestelmät,Systèmes d'éclairage d'aéroport,Flughafenbeleuchtungssysteme,Συστήματα Φωτισμού Αεροδρομίου,Repülőtéri világítási rendszerek,Córais Soilsiú Aerfoirt,Sistemi di illuminazione aeroportuale,Lidostas apgaismojuma sistēmas,Oro uosto apšvietimo sistemos,Sistemi tad-Dawl tal-Ajruport,Systemy oświetlenia lotniskowego,Sistemas de iluminação aeroportuária,Sisteme de iluminat pentru aeroport,Letiskové osvetľovacie systémy,Letališki sistemi razsvetljave,Sistemas de iluminación de aeropuertos,Flygplatsbelysningssystem,Havaalanı Aydınlatma Sistemleri,Системы освещения аэропортов,Системи освітлення аеропорту,Flyplasslyssystemer,Flyplasslyssystemer,,,0.8
SUB_000232,CAT_00164,Apron & Taxiway Paving,Настилка на перона и пътеката за рулиране,Popločavanje pregača i staza za vožnju,Dlažba zástěry a pojezdové dráhy,Forklæde & taxabelægning,Platform- en taxibaanbestrating,Põll ja ruleerimistee sillutis,Esiliina ja rullaustien päällystys,Revêtement des tabliers et des voies de circulation,Rollfeld- und Rollbahnpflasterung,Ποδιά & Πλακόστρωτο Ταξί,Kötény és gurulóút burkolat,Apron & Pábháil Tacsaithe,Pavimentazione di piazzali e vie di rullaggio,Priekšauts un manevrēšanas ceļu bruģēšana,Prijuostė ir riedėjimo tako klojimas,Pavimentar tal-fardal u tat-Taxiway,Nawierzchnia płyt postojowych i dróg kołowania,Pavimentação de pátio e pista de táxi,Pavaj pentru șorț și cale de rulare,Dlažba zástery a rolovacej dráhy,Tlakovanje ploščadi in voznih stez,Pavimentación de plataformas y calles de rodaje,Förkläde & Taxivägsbeläggning,Apron ve Taksi Yolu Döşeme,Мощение перрона и рулежных дорожек,Укладання перону та руліжної доріжки,Forkle & Taxiway Asfaltering,Forkle & Taxiway Asfaltering,,,0.5490196078431373
SUB_000233,CAT_00673,Runway Construction,Изграждане на писта,Izgradnja piste,Stavba dráhy,Anlæg af landingsbane,Startbaanconstructie,Lennuraja ehitus,Kiitotien rakentaminen,Construction de la piste,Bau der Start- und Landebahn,Κατασκευή διαδρόμου,Kifutópálya építése,Tógáil Rúidbhealaigh,Costruzione della pista,Skrejceļa būvniecība,Kilimo ir tūpimo tako statyba,Kostruzzjoni tar-Runway,Budowa pasa startowego,Construção de pista,Construcția pistei,Výstavba dráhy,Gradnja vzletno-pristajalne steze,Construcción de pistas,Bankonstruktion,Pist İnşaatı,Строительство взлетно-посадочной полосы,Будівництво злітно-посадкової смуги,Rullebanekonstruksjon,Rullebanekonstruksjon,,,0.8108108108108109
SUB_000234,CAT_00673,Hempcrete Construction Specialist,Специалист по строителството на Hempcrete,Hempcrete stručnjak za gradnju,Specialista na stavbu konopného betonu,Byggespecialist i hampbeton,Specialist in hennepbetonconstructie,Kanepbetooni ehitusspetsialist,Hempcrete-rakennusasiantuntija,Spécialiste de la construction en béton de chanvre,Hanfbeton-Bauspezialist,Ειδικός Κατασκευών Hempcrete,Kenderbeton építőipari szakember,Speisialtóir Tógála Hempcrete,Specialista in costruzioni in canapa,Hempcrete būvniecības speciālists,Hempcrete statybos specialistas,Speċjalista tal-Kostruzzjoni tal-Hampcrete,Specjalista od budowy z betonu konopnego,Especialista em construção de concreto de cânhamo,Specialist în construcții din beton de cânepă,Špecialista na stavbu konopného betónu,Strokovnjak za konopljin beton,Especialista en construcción con hormigón de cáñamo,Byggspecialist på hampbetong,Kenevir Beton İnşaat Uzmanı,Специалист по строительству из костробетона,Спеціаліст з будівництва Hempcrete,Byggespesialist i hampbetong,Byggespesialist i hampbetong,,,0.6274509803921569
SUB_000235,CAT_00122,Building Management Systems (BMS),Системи за управление на сгради (BMS),Sustavi upravljanja zgradama (BMS),Systémy řízení budov (BMS),Bygningsstyringssystemer (BMS),Gebouwbeheersystemen (GBS),Hoonehaldussüsteemid (BMS),Kiinteistönhallintajärjestelmät (BMS),Systèmes de gestion du bâtiment (BMS),Gebäudemanagementsysteme (BMS),Συστήματα Διαχείρισης Κτιρίων (BMS),Épületfelügyeleti rendszerek (BMS),Córais Bhainistíochta Foirgníochta (BMS),Sistemi di gestione degli edifici (BMS),Ēku pārvaldības sistēmas (BMS),Pastatų valdymo sistemos (BMS),Sistemi ta' Ġestjoni tal-Bini (BMS),Systemy zarządzania budynkiem (BMS),Sistemas de Gestão de Edifícios (BMS),Sisteme de management al clădirilor (BMS),Systémy správy budov (BMS),Sistemi za upravljanje stavb (BMS),Sistemas de gestión de edificios (BMS),Byggnadsledningssystem (BMS),Bina Yönetim Sistemleri (BMS),Системы управления зданием (BMS),Системи управління будівлями (BMS),Byggestyringssystemer (BMS),Byggestyringssystemer (BMS),,,0.5172413793103449
SUB_000236,CAT_00052,IoT Sensors & Monitoring,IoT сензори и мониторинг,IoT senzori i nadzor,IoT senzory a monitorování,IoT-sensorer og overvågning,IoT-sensoren en -monitoring,IoT andurid ja seire,IoT-anturit ja valvonta,Capteurs et surveillance IoT,IoT-Sensoren und -Überwachung,Αισθητήρες και παρακολούθηση IoT,IoT érzékelők és felügyelet,Braiteoirí & Monatóireacht IoT,Sensori e monitoraggio IoT,IoT sensori un uzraudzība,IoT jutikliai ir stebėjimas,Sensuri u Monitoraġġ IoT,Czujniki i monitorowanie IoT,Sensores e monitoramento de IoT,Senzori și monitorizare IoT,IoT senzory a monitorovanie,IoT senzorji in nadzor,Sensores y monitorización de IoT,IoT-sensorer och övervakning,IoT Sensörleri ve İzleme,Датчики и мониторинг Интернета вещей,Датчики та моніторинг Інтернету речей,IoT-sensorer og -overvåking,IoT-sensorer og -overvåking,,,0.6153846153846154
SUB_000237,CAT_00489,Smart Lighting Control,Интелигентно управление на осветлението,Pametna kontrola rasvjete,Chytré ovládání osvětlení,Smart lysstyring,Slimme lichtregeling,Nutikas valgustuse juhtimine,Älykäs valaistuksen ohjaus,Contrôle d'éclairage intelligent,Intelligente Lichtsteuerung,Έξυπνος έλεγχος φωτισμού,Intelligens világításvezérlés,Rialú Soilsiú Cliste,Controllo intelligente dell'illuminazione,Viedā apgaismojuma vadība,Išmanusis apšvietimo valdymas,Kontroll tad-Dawl Intelliġenti,Inteligentne sterowanie oświetleniem,Controle de iluminação inteligente,Control inteligent al luminii,Inteligentné ovládanie osvetlenia,Pametni nadzor osvetlitve,Control de iluminación inteligente,Smart ljusstyrning,Akıllı Aydınlatma Kontrolü,Умное управление освещением,Інтелектуальне керування освітленням,Smart lysstyring,Smart lysstyring,,,0.5945945945945946
SUB_000238,CAT_00429,Concrete & Aggregates Supply,Доставка на бетон и инертни материали,Opskrba betonom i agregatima,Dodávky betonu a kameniva,Levering af beton og tilslag,Beton- en aggregaatlevering,Betooni ja täitematerjalide tarnimine,Betonin ja kiviaineksen toimitus,Fourniture de béton et de granulats,Beton- und Zuschlagstoffversorgung,Προμήθεια σκυροδέματος & αδρανών υλικών,Beton és aggregátum szállítása,Soláthar Coincréite & Comhiomláin,Fornitura di calcestruzzo e aggregati,Betona un pildvielu piegāde,Betono ir užpildų tiekimas,Provvista ta' Konkrit u Aggregati,Dostawa betonu i kruszyw,Fornecimento de concreto e agregados,Furnizare de beton și agregate,Dodávka betónu a kameniva,Dobava betona in agregatov,Suministro de hormigón y áridos,Betong & Aggregat leverans,Beton ve Agrega Tedariği,Поставка бетона и заполнителей,Постачання бетону та заповнювачів,Forsyning av betong og tilslag,Forsyning av betong og tilslag,,,0.5490196078431373
SUB_000239,CAT_00122,Insulation Materials Supply,Доставка на изолационни материали,Dobava izolacijskih materijala,Dodávka izolačních materiálů,Levering af isoleringsmaterialer,Levering van isolatiematerialen,Isolatsioonimaterjalide tarnimine,Eristysmateriaalien toimitus,Fourniture de matériaux d'isolation,Lieferung von Isoliermaterialien,Προμήθεια μονωτικών υλικών,Szigetelőanyag-ellátás,Soláthar Ábhar Inslithe,Fornitura di materiali isolanti,Izolācijas materiālu piegāde,Izoliacinių medžiagų tiekimas,Provvista ta’ Materjali ta’ Insulazzjoni,Dostawa materiałów izolacyjnych,Fornecimento de materiais de isolamento,Aprovizionare cu materiale izolante,Dodávka izolačných materiálov,Dobava izolacijskih materialov,Suministro de materiales de aislamiento,Försörjning av isoleringsmaterial,Yalıtım Malzemeleri Temini,Поставка изоляционных материалов,Постачання ізоляційних матеріалів,Forsyning av isolasjonsmaterialer,Forsyning av isolasjonsmaterialer,,,0.7307692307692307
SUB_000240,CAT_00083,Steel & Rebar Supply,Доставка на стомана и арматура,Opskrba čelikom i armaturom,Dodávka oceli a výztuže,Levering af stål og armeringsjern,Levering van staal en wapeningsstaal,Terase ja armatuuri tarnimine,Teräksen ja raudoitustankojen tarjonta,Approvisionnement en acier et en barres d'armature,Stahl- und Bewehrungsversorgung,Προμήθεια χάλυβα & οπλισμού,Acél és betonacél ellátás,Soláthar Cruach & Rebar,Fornitura di acciaio e tondini per cemento armato,Tērauda un armatūras piegāde,Plieno ir armatūros tiekimas,Steel & Rebar Provvista,Dostawy stali i prętów zbrojeniowych,Fornecimento de aço e vergalhões,Aprovizionare cu oțel și bare de armare,Dodávka ocele a výstuže,Dobava jekla in armatur,Suministro de acero y varillas de refuerzo,Försörjning av stål och armeringsjärn,Çelik ve Donatı Tedariği,Поставка стали и арматуры,Постачання сталі та арматури,Forsyning av stål og armeringsjern,Forsyning av stål og armeringsjern,,,0.55
SUB_000241,CAT_00701,Hotel & Hospitality,Хотел и хотелиерство,Hotel & Ugostiteljstvo,Hotel & pohostinství,Hotel & gæstfrihed,Hotel & Gastvrijheid,Hotell ja külalislahkus,Hotelli & Hospitality,Hôtellerie et hospitalité,Hotel & Gastgewerbe,Ξενοδοχείο & Φιλοξενία,Szálloda és vendéglátás,Óstán & Fáilteachais,Hotel e ospitalità,Viesnīca un viesmīlība,Viešbutis ir svetingumas,Lukanda u Ospitalità,Hotelarstwo i gościnność,Hotelaria e Hospitalidade,Hotel și ospitalitate,Hotel & pohostinstvo,Hotel in gostinstvo,Hotel y hospitalidad,Hotell & gästfrihet,Otel ve Misafirperverlik,Отель и гостеприимство,Готель і готельний бізнес,Hotell og gjestfrihet,Hotell og gjestfrihet,,,0.7333333333333333
SUB_000242,CAT_00064,Office & Mixed Use,Офис и смесено предназначение,Ured i mješovita namjena,Kancelářské a smíšené použití,Kontor og blandet brug,Kantoor & Gemengd Gebruik,Kontor ja segakasutus,Toimisto ja sekakäyttö,Bureau et usage mixte,Büro & Mischnutzung,Γραφείο & Μικτή Χρήση,Irodai és vegyes használatra,Oifig & Úsáid Mheasctha,Ufficio e uso misto,Birojs un jaukts lietojums,Biuras ir mišrus naudojimas,Uffiċċju & Użu Imħallat,Biuro i przestrzeń mieszana,Escritório e uso misto,Birou și utilizare mixtă,Kancelárske a zmiešané použitie,Pisarna in mešana uporaba,Oficina y uso mixto,Kontor & blandad användning,Ofis ve Karma Kullanım,Офисы и помещения смешанного назначения,Офіс і багатофункціональне використання,Kontor og blandet bruk,Kontor og blandet bruk,,,0.6111111111111112
SUB_000243,CAT_00056,Retail & Shopping Centers,Търговски центрове,Maloprodajni i trgovački centri,Maloobchodní a nákupní centra,Detail- og indkøbscentre,Winkelcentra en detailhandel,Jaemüügi- ja kaubanduskeskused,Vähittäiskauppa ja ostoskeskukset,Commerces de détail et centres commerciaux,Einzelhandel und Einkaufszentren,Λιανικά & Εμπορικά Κέντρα,Kiskereskedelmi és bevásárlóközpontok,Ionaid Mhiondíola & Siopadóireachta,Centri commerciali e al dettaglio,Mazumtirdzniecības un iepirkšanās centri,Mažmeninė prekyba ir prekybos centrai,Ċentri tal-Bejgħ bl-imnut u tax-Xiri,Handel detaliczny i centra handlowe,Varejo e centros comerciais,Retail și centre comerciale,Maloobchodné a nákupné centrá,Maloprodajni in nakupovalni centri,Comercios y centros comerciales,Detaljhandel och köpcentrum,Perakende ve Alışveriş Merkezleri,Розничная торговля и торговые центры,Роздрібна торгівля та торгові центри,Detaljhandel og kjøpesentre,Detaljhandel og kjøpesentre,,,0.5581395348837209
SUB_000244,CAT_00190,Cathodic Protection,Катодна защита,Katodna zaštita,Katodická ochrana,Katodisk beskyttelse,Kathodische bescherming,Katoodkaitse,Katodinen suojaus,Protection cathodique,Kathodischer Schutz,Καθοδική Προστασία,Katódos védelem,Cosaint Chathodic,Protezione catodica,Katoda aizsardzība,Katodinė apsauga,Protezzjoni Katodika,Ochrona katodowa,Proteção Catódica,Protecție catodică,Katódová ochrana,Katodna zaščita,Protección catódica,Katodiskt skydd,Katodik Koruma,Катодная защита,Катодний захист,Katodisk beskyttelse,Katodisk beskyttelse,,,0.6857142857142857
SUB_000245,CAT_00668,Concrete Jacketing,Облицовка на бетон,Betonska obloga,Betonové opláštění,Betonkappe,Betonnen omhulling,Betooni katmine,Betonipäällystys,Revêtement en béton,Betonummantelung,Μπετόν Τζάκετ,Betonburkolat,Jacketing Coincréite,Rivestimento in calcestruzzo,Betona apšuvums,Betono apkalimas,Kisi tal-konkrit,Obudowy betonowe,Revestimento de concreto,Îmbrăcăminte de beton,Betónové opláštenie,Betonski plašč,Revestimiento de hormigón,Betongmantel,Beton Mantolama,Бетонная оболочка,Облицювання бетону,Betongkappe,Betongkappe,,,0.6470588235294118
SUB_000246,CAT_00124,Crack Injection,Инжектиране на пукнатини,Injektiranje pukotina,Crack Injection,Crack Injection,Scheurinjectie,Pragude süstimine,Halkeama ruiskutus,Injection de fissures,Rissinjektion,Έγχυση ρωγμής,Repedés injekció,Instealladh crack,Iniezione di crepe,Plaisas injekcija,Įtrūkimo įpurškimas,Injezzjoni ta' xquq,Wstrzykiwanie pęknięć,Injeção de fissuras,Injecție cu fisuri,Crack Injection,Vbrizgavanje razpok,Inyección de grietas,Sprickinjektion,Çatlak Enjeksiyonu,Инъекция трещин,Ін'єкція тріщин,Sprekkinjeksjon,Sprekkinjeksjon,,,0.6190476190476191
SUB_000247,CAT_00439,Drone Mapping,Картографиране с дрон,Mapiranje dronom,Mapování dronů,Drone kortlægning,Drone-mapping,Droonide kaardistamine,Drone-kartoitus,Cartographie par drone,Drohnenkartierung,Χαρτογράφηση Drone,Dróntérképezés,Mapáil Drone,Mappatura con droni,Dronu kartēšana,Dronų žemėlapių sudarymas,Mapping tad-drone,Mapowanie dronów,Mapeamento de drones,Cartografierea cu drone,Mapovanie dronov,Kartiranje z droni,Mapeo con drones,Drönarkartläggning,Drone Haritalama,Картографирование с помощью дронов,Drone Mapping,Dronekartlegging,Dronekartlegging,,,0.56
SUB_000248,CAT_00515,Progress Monitoring,Мониторинг на напредъка,Praćenje napretka,Sledování pokroku,Fremskridtsovervågning,Voortgangsbewaking,Eduseire,Edistyksen seuranta,Suivi des progrès,Fortschrittsüberwachung,Παρακολούθηση προόδου,Haladás figyelése,Monatóireacht ar Dhul Chun Cinn,Monitoraggio dei progressi,Progresa uzraudzība,Pažangos stebėjimas,Monitoraġġ tal-Progress,Monitorowanie postępów,Monitoramento de progresso,Monitorizarea progresului,Monitorovanie pokroku,Spremljanje napredka,Monitoreo del progreso,Framstegsövervakning,İlerleme İzleme,Мониторинг прогресса,Моніторинг прогресу,Fremdriftsovervåking,Fremdriftsovervåking,,,0.7
SUB_000249,CAT_00523,Thermal Imaging,Термично изображение,Termalno snimanje,Termální zobrazování,Termisk billeddannelse,Thermische beeldvorming,Termiline pildistamine,Lämpökuvaus,Imagerie thermique,Wärmebildgebung,Θερμική Απεικόνιση,Hőképalkotás,Íomháú Teirmeach,Immagini termiche,Termiskā attēlveidošana,Terminis vaizdavimas,Immaġini Termali,Obrazowanie termiczne,Imagem térmica,Imagistica termică,Termálne zobrazovanie,Toplotno slikanje,Imágenes térmicas,Värmebilder,Termal Görüntüleme,Тепловидение,Тепловізор,Termisk bildebehandling,Termisk bildebehandling,,,0.8275862068965517
