category_id,en,bg,hr,cs,da,nl,et,fi,fr,de,el,hu,ga,it,lv,lt,mt,pl,pt,ro,sk,sl,es,sv,tr,ru,uk,nb,no,icon,section_id,sort_order_category
CAT_00093,Immigration Law,Закон за имиграцията,Zakon o useljavanju,Imigrační zákon,Udlændingeloven,Immigratierecht,Immigratsiooniseadus,Maahanmuuttolaki,Droit de l'immigration,Einwanderungsrecht,Μεταναστευτικό Δίκαιο,Bevándorlási törvény,Dlí Inimirce,Diritto dell'immigrazione,Imigrācijas likums,Imigracijos įstatymas,Liġi dwar l-Immigrazzjoni,Prawo imigracyjne,Lei de Imigração,Legea imigrării,imigračný zákon,Zakon o priseljevanju,Ley de inmigración,Immigrationslagstiftning,Göçmenlik Hukuku,Закон об иммиграции,Закон про імміграцію,Utlendingsloven,Utlendingsloven,wrench.svg,SEC_0015,30
CAT_00100,Commercial Cleaning,Търговско почистване,Komercijalno čišćenje,Komerční úklid,Kommerciel rengøring,Commerciële schoonmaak,Kaubanduslik puhastus,Kaupallinen puhdistus,Nettoyage commercial,Gewerbliche Reinigung,Εμπορικός Καθαρισμός,Kereskedelmi takarítás,Glanadh Tráchtála,Pulizia commerciale,Tirdzniecības tīrīšana,Komercinis valymas,Tindif Kummerċjali,Sprzątanie komercyjne,Limpeza Comercial,Curatenie comerciala,Komerčné čistenie,Komercialno čiščenje,Limpieza comercial,Kommersiell städning,Ticari Temizlik,Коммерческая уборка,Комерційне прибирання,Kommersiell rengjøring,Kommersiell rengjøring,cleaning.svg,SEC_0016,30
CAT_00107,Security Systems,Системи за сигурност,Sigurnosni sustavi,Bezpečnostní systémy,Sikkerhedssystemer,Beveiligingssystemen,Turvasüsteemid,Turvajärjestelmät,Systèmes de sécurité,Sicherheitssysteme,Συστήματα Ασφαλείας,Biztonsági rendszerek,Córais Slándála,Sistemi di sicurezza,Drošības sistēmas,Apsaugos sistemos,Sistemi ta' Sigurtà,Systemy bezpieczeństwa,Sistemas de Segurança,Sisteme de securitate,Bezpečnostné systémy,Varnostni sistemi,Sistemas de seguridad,Säkerhetssystem,Güvenlik Sistemleri,Системы безопасности,Системи безпеки,Sikkerhetssystemer,Sikkerhetssystemer,wrench.svg,SEC_0017,30
CAT_00112,Integration,Интеграция,Integracija,Integrace,Integration,Integratie,Integratsioon,Integrointi,Intégration,Integration,Ολοκλήρωση,Integráció,Comhtháthú,Integrazione,Integrācija,Integracija,Integrazzjoni,Integracja,Integração,Integrare,integrácia,Integracija,Integración,Integration,Entegrasyon,Интеграция,Інтеграція,Integrering,Integrering,wrench.svg,SEC_0019,30
CAT_00117,Training,обучение,Trening,Výcvik,Uddannelse,Opleiding,Koolitus,Koulutus,Entraînement,Ausbildung,Εκπαίδευση,Edzés,Traenáil,Formazione,Apmācība,Treniruotės,Taħriġ,Szkolenie,Treinamento,Antrenamentul,Školenie,Usposabljanje,Capacitación,Utbildning,Eğitim,Обучение,Навчання,Opplæring,Opplæring,wrench.svg,SEC_0021,30
CAT_00120,Alternative,алтернатива,Alternativa,Alternativní,Alternativ,Alternatief,Alternatiivne,Vaihtoehtoinen,Alternative,Alternative,Εναλλακτική λύση,Alternatív,Malartach,Alternativa,Alternatīva,Alternatyva,Alternattiva,Alternatywny,Alternativa,Alternativă,Alternatívne,alternativa,Alternativa,Alternativ,Alternatif,Альтернатива,Альтернатива,Alternativ,Alternativ,wrench.svg,SEC_0022,30
CAT_00167,Stone Work,Каменна работа,Rad s kamenom,Kamenické práce,Stenarbejde,Steenwerk,Kivitöö,Kivityö,Travail de la pierre,Steinarbeiten,Πέτρινη Εργασία,Kőmunka,Obair Chloch,Lavorazione della pietra,Akmens darbs,Akmens darbas,Xogħol tal-Ġebla,Obróbka kamienia,Trabalho em pedra,Lucrări de piatră,Kamenárske práce,Delo s kamnom,Trabajo en piedra,Stenarbete,Taş İşçiliği,Каменная работа,Кам'яна робота,Steinarbeid,Steinarbeid,wrench.svg,SEC_0023,30
CAT_00171,Strategy & Transformation,Стратегия и трансформация,Strategija i transformacija,Strategie a transformace,Strategi & Transformation,Strategie & Transformatie,Strateegia ja ümberkujundamine,Strategia ja muutos,Stratégie et transformation,Strategie & Transformation,Στρατηγική & Μετασχηματισμός,Stratégia és átalakítás,Straitéis & Claochlú,Strategia e trasformazione,Stratēģija un transformācija,Strategija ir transformacija,Strateġija u Trasformazzjoni,Strategia i transformacja,Estratégia e Transformação,Strategie & Transformare,Stratégia a transformácia,Strategija in preobrazba,Estrategia y Transformación,Strategi & Transformation,Strateji ve Dönüşüm,Стратегия и трансформация,Стратегія та трансформація,Strategi og transformasjon,Strategi og transformasjon,wrench.svg,SEC_0024,30
CAT_00175,Metalworking & Blacksmithing,Металообработване и ковачество,Obrada metala i kovaštvo,Kovoobrábění a kovářství,Metalbearbejdning og smedearbejde,Metaalbewerking en Smeden,Metallitööstus ja sepatöö,Metallintyöstö ja seppätyöt,Travail des métaux et forge,Metallverarbeitung und Schmiedekunst,Μεταλλουργία & Σιδηρουργία,Fémmegmunkálás és kovácsolás,Miotalóireacht & gabha,Lavorazione dei metalli e forgiatura,Metālapstrāde un kalēja darbi,Metalo apdirbimas ir kalvystė,Xogħol tal-metall u ħaddied,Obróbka metali i kowalstwo,Metalurgia e ferraria,Prelucrarea metalelor și fierărie,Kovoobrábanie a kováčstvo,Obdelava kovin in kovaštvo,Metalurgia y herrería,Metallbearbetning & Smide,Metal İşleme ve Demircilik,Металлообработка и кузнечное дело,Металообробка та ковальство,Metallbearbeiding og smedarbeid,Metallbearbeiding og smedarbeid,wrench.svg,SEC_0026,30
CAT_00187,Design & Branding,Дизайн и брандиране,Dizajn i brendiranje,Design & Branding,Design & Branding,Ontwerp en merk,Disain ja bränding,Suunnittelu & Brändäys,Conception et image de marque,Design und Branding,Σχεδιασμός & Branding,Tervezés és márkaépítés,Dearadh & Brandáil,Progettazione e branding,Dizains un zīmols,Dizainas ir prekės ženklas,Disinn u Branding,Projektowanie i branding,Design e Branding,Design și branding,Dizajn & Branding,Oblikovanje in blagovna znamka,Diseño y marca,Design & Branding,Tasarım ve Markalaşma,Дизайн и брендинг,Дизайн і брендинг,Design og merkevarebygging,Design og merkevarebygging,wrench.svg,SEC_0028,30
CAT_00193,Traditional Crafts,Традиционни занаяти,Tradicijski obrti,Tradiční řemesla,Traditionelt håndværk,Traditioneel handwerk,Traditsiooniline käsitöö,Perinteiset käsityöt,Artisanat traditionnel,Traditionelles Handwerk,Παραδοσιακές Χειροτεχνίες,Hagyományos mesterségek,Ceardaíocht Traidisiúnta,Artigianato tradizionale,Tradicionālie amatniecība,Tradiciniai amatai,Snajja Tradizzjonali,Tradycyjne rzemiosło,Artesanato Tradicional,Meșteșuguri tradiționale,Tradičné remeslá,Tradicionalne obrti,Artesanía tradicional,Traditionellt hantverk,Geleneksel El Sanatları,Традиционные ремесла,Традиційні ремесла,Tradisjonelt håndverk,Tradisjonelt håndverk,wrench.svg,SEC_0030,30
CAT_00196,Managed Security,Управлявана сигурност,Upravljana sigurnost,Spravované zabezpečení,Administreret sikkerhed,Beheerde beveiliging,Hallatud turvalisus,Hallittu suojaus,Sécurité gérée,Verwaltete Sicherheit,Διαχειριζόμενη ασφάλεια,Felügyelt biztonság,Slándáil Bainistithe,Sicurezza gestita,Pārvaldīta drošība,Tvarkomas saugumas,Sigurtà Immexxija,Zarządzane bezpieczeństwo,Segurança Gerenciada,Securitate gestionată,Riadená bezpečnosť,Upravljana varnost,Seguridad administrada,Managed Security,Yönetilen Güvenlik,Управляемая безопасность,Керована безпека,Administrert sikkerhet,Administrert sikkerhet,wrench.svg,SEC_0031,30
CAT_00201,Data Warehousing,Съхраняване на данни,Skladištenje podataka,Datové sklady,Data warehousing,Datawarehousing,Andmeladustamine,Tietovarastointi,Entreposage de données,Data Warehousing,Αποθήκευση Δεδομένων,Adattárház,Stóras Sonraí,Data Warehousing,Datu noliktavas,Duomenų saugykla,Ħażna tad-Data,Magazynowanie danych,Armazenamento de dados,Depozitarea datelor,Dátové sklady,Skladiščenje podatkov,Almacenamiento de datos,Datalager,Veri Ambarı,Хранилище данных,Сховище даних,Datavarehus,Datavarehus,wrench.svg,SEC_0032,30
CAT_00204,Security Services,Служби за сигурност,Sigurnosne službe,Bezpečnostní služby,Sikkerhedstjenester,Beveiligingsdiensten,Turvateenused,Turvapalvelut,Services de sécurité,Sicherheitsdienste,Υπηρεσίες Ασφαλείας,Biztonsági szolgáltatások,Seirbhísí Slándála,Servizi di sicurezza,Drošības dienesti,Apsaugos tarnybos,Servizzi tas-Sigurtà,Usługi bezpieczeństwa,Serviços de Segurança,Servicii de securitate,Bezpečnostné služby,Varnostne službe,Servicios de seguridad,Säkerhetstjänster,Güvenlik Hizmetleri,Службы безопасности,Служби безпеки,Sikkerhetstjenester,Sikkerhetstjenester,wrench.svg,SEC_0033,30
CAT_00207,Data & Analytics,Данни и анализи,Podaci i analitika,Data a analýzy,Data & Analytics,Gegevens en analyses,Andmed ja analüüs,Data & Analytics,Données et analyses,Daten und Analysen,Δεδομένα & Αναλύσεις,Adatok és elemzések,Sonraí & Anailísíocht,Dati e analisi,Dati un analīze,Duomenys ir analizė,Data u Analitiċi,Dane i analityka,Dados e Análises,Date și analize,Údaje a analýza,Podatki in analitika,Datos y análisis,Data & Analytics,Veri ve Analitik,Данные и аналитика,Дані та аналітика,Data og analyse,Data og analyse,wrench.svg,SEC_0034,30
CAT_00220,Remote Setup,Дистанционна настройка,Daljinsko postavljanje,Vzdálené nastavení,Fjernopsætning,Installatie op afstand,Kaughäälestus,Etäasetus,Configuration à distance,Remote-Einrichtung,Remote Setup,Távoli beállítás,Socrú cianda,Configurazione remota,Attālā iestatīšana,Nuotolinė sąranka,Setup mill-bogħod,Zdalna konfiguracja,Configuração remota,Configurare de la distanță,Diaľkové nastavenie,Oddaljena nastavitev,Configuración remota,Fjärrinställning,Uzaktan Kurulum,Удаленная настройка,Віддалене налаштування,Fjernoppsett,Fjernoppsett,wrench.svg,SEC_0035,30
CAT_00224,Privacy Control,Контрол на поверителността,Kontrola privatnosti,Ochrana soukromí,Fortrolighedskontrol,Privacybeheer,Privaatsuskontroll,Yksityisyyden valvonta,Contrôle de la confidentialité,Datenschutzkontrolle,Έλεγχος απορρήτου,Adatvédelem ellenőrzése,Rialú Príobháideachta,Controllo della privacy,Privātuma kontrole,Privatumo kontrolė,Kontroll tal-Privatezza,Kontrola prywatności,Controle de privacidade,Controlul confidențialității,Ochrana osobných údajov,Nadzor zasebnosti,Control de privacidad,Sekretesskontroll,Gizlilik Kontrolü,Контроль конфиденциальности,Контроль конфіденційності,Personvernkontroll,Personvernkontroll,wrench.svg,SEC_0036,30
CAT_00227,Legacy Tools,Наследени инструменти,Naslijeđeni alati,Starší nástroje,Ældre værktøjer,Legacy-tools,Pärandtööriistad,Vanhat työkalut,Outils hérités,Ältere Tools,Εργαλεία παλαιού τύπου,Legacy Tools,Uirlisí Oidhreacht,Strumenti legacy,Mantotie rīki,Seni įrankiai,Għodda Legat,Narzędzia starszej generacji,Ferramentas legadas,Instrumente vechi,Staršie nástroje,Podedovana orodja,Herramientas heredadas,Äldre verktyg,Eski Araçlar,Устаревшие инструменты,Застарілі інструменти,Eldre verktøy,Eldre verktøy,wrench.svg,SEC_0037,30
CAT_00232,Fulfilment Services,Услуги за изпълнение,Usluge ispunjenja,Služby plnění,Fulfillment Services,Fulfilmentdiensten,Täitmisteenused,Toteutuspalvelut,Services d'exécution,Fulfillment-Dienste,Υπηρεσίες Εκπλήρωσης,Teljesítési szolgáltatások,Seirbhísí Comhlíonta,Servizi di evasione ordini,Izpildes pakalpojumi,Įvykdymo paslaugos,Servizzi ta' Sodisfar,Usługi realizacji zamówień,Serviços de Atendimento,Servicii de realizare,Služby plnenia,Izpolnitvene storitve,Servicios de cumplimiento,Uppfyllelsetjänster,Tedarik Hizmetleri,Услуги по выполнению заказов,Послуги виконання,Oppfyllelsestjenester,Oppfyllelsestjenester,wrench.svg,SEC_0038,30
CAT_00238,Global Programs,Глобални програми,Globalni programi,Globální programy,Globale programmer,Wereldwijde programma's,Globaalsed programmid,Globaalit ohjelmat,Programmes mondiaux,Globale Programme,Παγκόσμια Προγράμματα,Globális programok,Cláir Dhomhanda,Programmi globali,Globālās programmas,Pasaulinės programos,Programmi Globali,Programy globalne,Programas Globais,Programe globale,Globálne programy,Globalni programi,Programas globales,Globala program,Küresel Programlar,Глобальные программы,Глобальні програми,Globale programmer,Globale programmer,wrench.svg,SEC_0040,30
CAT_00244,EdTech Tools,Инструменти на EdTech,EdTech alati,Nástroje EdTech,EdTech værktøjer,EdTech-hulpmiddelen,EdTechi tööriistad,EdTech-työkalut,Outils EdTech,EdTech-Tools,Εργαλεία EdTech,EdTech Tools,Uirlisí EdTech,Strumenti EdTech,EdTech rīki,EdTech įrankiai,Għodda EdTech,Narzędzia EdTech,Ferramentas EdTech,Instrumente EdTech,Nástroje EdTech,Orodja EdTech,Herramientas de tecnología educativa,EdTech-verktyg,EdTech Araçları,Инструменты EdTech,Інструменти EdTech,EdTech-verktøy,EdTech-verktøy,wrench.svg,SEC_0042,30
CAT_00249,Creative Learning,Творческо обучение,Kreativno učenje,Kreativní učení,Kreativ læring,Creatief leren,Loov õppimine,Luova oppiminen,Apprentissage créatif,Kreatives Lernen,Δημιουργική Μάθηση,Kreatív tanulás,Foghlaim Chruthaitheach,Apprendimento creativo,Radoša mācīšanās,Kūrybinis mokymasis,Tagħlim Kreattiv,Kreatywne uczenie się,Aprendizagem Criativa,Învățare creativă,Kreatívne učenie,Ustvarjalno učenje,Aprendizaje creativo,Kreativt lärande,Yaratıcı Öğrenme,Творческое обучение,Творче навчання,Kreativ læring,Kreativ læring,wrench.svg,SEC_0043,30
CAT_00262,Mobility,Мобилност,Mobilnost,Mobilita,Mobilitet,Mobiliteit,Liikuvus,Liikkuvuus,Mobilité,Mobilität,Κινητικότητα,Mobilitás,Soghluaisteacht,Mobilità,Mobilitāte,Mobilumas,Mobilità,Ruchliwość,Mobilidade,Mobilitate,Mobilita,Mobilnost,Movilidad,Rörlighet,Hareketlilik,Мобильность,Мобільність,Mobilitet,Mobilitet,wrench.svg,SEC_0044,30
CAT_00265,Companionship,Другарство,Druženje,Společnost,Selskab,Gezelschap,Seltskond,Toveruus,Camaraderie,Gesellschaft,Συντροφιά,Társaság,Comhluadar,Compagnia,Biedrība,Draugystė,Kumpannija,Koleżeństwo,Companhia,Companie,Spoločnosť,Druženje,Compañerismo,Kamratskap,Arkadaşlık,Товарищество,Товариство,Kameratskap,Kameratskap,wrench.svg,SEC_0045,30
CAT_00272,Mental Health,Психично здраве,Mentalno zdravlje,Duševní zdraví,Mental sundhed,Mentale gezondheid,Vaimne tervis,Mielenterveys,Santé mentale,Psychische Gesundheit,Ψυχική Υγεία,Mentális egészség,Meabhairshláinte,Salute mentale,Garīgā veselība,Psichikos sveikata,Saħħa Mentali,Zdrowie psychiczne,Saúde mental,Sănătate mintală,Duševné zdravie,Duševno zdravje,Salud mental,Mental hälsa,Ruh Sağlığı,Психическое здоровье,Психічне здоров'я,Mental helse,Mental helse,wrench.svg,SEC_0048,30
CAT_00279,Renewable Energy Services,Услуги за възобновяема енергия,Usluge obnovljive energije,Služby obnovitelné energie,Vedvarende energitjenester,Hernieuwbare energiediensten,Taastuvenergia teenused,Uusiutuvan energian palvelut,Services d'énergie renouvelable,Dienstleistungen im Bereich erneuerbare Energien,Υπηρεσίες Ανανεώσιμων Πηγών Ενέργειας,Megújulóenergia-szolgáltatások,Seirbhísí Fuinnimh In-athnuaite,Servizi di energia rinnovabile,Atjaunojamās enerģijas pakalpojumi,Atsinaujinančios energijos paslaugos,Servizzi ta' Enerġija Rinnovabbli,Usługi w zakresie energii odnawialnej,Serviços de Energia Renovável,Servicii de energie regenerabilă,Služby obnoviteľnej energie,Storitve obnovljivih virov energije,Servicios de energía renovable,Förnybara energitjänster,Yenilenebilir Enerji Hizmetleri,Услуги возобновляемой энергии,Послуги з відновлюваної енергетики,Fornybare energitjenester,Fornybare energitjenester,wrench.svg,SEC_0051,30
CAT_00290,Performance Arts,Изпълнителни изкуства,Izvedbene umjetnosti,Performance Arts,Performance kunst,Uitvoerende kunsten,Performance Arts,Performance Arts,Arts de la scène,Darstellende Künste,Παραστατικές Τέχνες,Előadóművészet,Ealaíona Taibhithe,Arti performative,Izrādes māksla,Spektaklio menai,Arti tal-Prestazzjoni,Sztuki performatywne,Artes Cênicas,Artele spectacolului,Performance Arts,Uprizoritvene umetnosti,Artes escénicas,Performance Arts,Performans Sanatları,Исполнительское искусство,Перформанс мистецтва,Performance Arts,Performance Arts,wrench.svg,SEC_0052,30
CAT_00295,ChildrenÃÂÃÂÃÂÃÂ¢ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂs Parties,Детски партита,Dječje zabave.,Dětské večírky a večírky pro děti,Børnefester,Kinderfeestjes,Lastepeod.,Lasten juhlat.,Fêtes d'enfants,Kinderpartys,Παιδιά πάρτι,Gyermekpartik.,Páistí Páirtithe,Feste per bambini,Bērnu ballītes.,Vaikų vakarėliai.,Partijiet tat-tfal.,Przyjęcia dla dzieci,Festas Infantis,Petreceri pentru copii...,Party pre deti,"Otroške zabave,",Fiestas infantiles,Barnens partier,Çocuk Partileri,Детские вечеринки,Дитячі вечірки.,Barnas partier,Barnas partier,wrench.svg,SEC_0054,30
CAT_00325,Themed Experiences,Тематични изживявания,Tematski doživljaji,Tématické zážitky,Temaoplevelser,Thematische ervaringen,Temaatilised kogemused,Teemakohtaisia kokemuksia,Expériences thématiques,Themenerlebnisse,Θεματικές Εμπειρίες,Tematikus élmények,Eispéiris Théamaithe,Esperienze a tema,Tematiskas pieredzes,Teminės patirtys,Esperjenzi Tematiċi,Doświadczenia tematyczne,Experiências Temáticas,Experiențe tematice,Tematické zážitky,Tematska doživetja,Experiencias temáticas,Temaupplevelser,Temalı Deneyimler,Тематические впечатления,Тематичні враження,Temaopplevelser,Temaopplevelser,wrench.svg,SEC_0055,30
CAT_00328,Gifting,Подаряване,Darivanje,Obdarovávání,Gaver,Schenken,Kingitamine,Lahjoittaminen,Offrir des cadeaux,Ein Geschenk machen,Δωρεά,Ajándékozás,Bronntanais,Fare regali,Apdāvināšana,Dovanojimas,Rigali,Obdarowywanie,Presenteando,Daruri,Darovanie,Obdarovanje,Regalos,Gifting,Hediye verme,Дарение,Дарування,Gaver,Gaver,wrench.svg,SEC_0056,30
CAT_00334,Tech Support,Техническа поддръжка,Tehnička podrška,Technická podpora,Teknisk support,Technische ondersteuning,Tehniline tugi,Tekninen tuki,Support technique,Technischer Support,Τεχνική Υποστήριξη,Technikai támogatás,Tacaíocht Teicniúil,Supporto tecnico,Tehniskais atbalsts,Techninė pagalba,Appoġġ Tekniku,Wsparcie techniczne,Suporte técnico,Suport tehnic,Technická podpora,Tehnična podpora,Soporte técnico,Teknisk support,Teknik Destek,Техническая поддержка,Технічна підтримка,Teknisk støtte,Teknisk støtte,wrench.svg,SEC_0058,30
CAT_00337,Digital Parenting,Дигитално родителство,Digitalno roditeljstvo,Digitální rodičovství,Digitalt forældreskab,Digitaal ouderschap,Digitaalne vanemlus,Digitaalinen vanhemmuus,La parentalité numérique,Digitale Erziehung,Ψηφιακό Γονείς,Digitális szülői nevelés,Tuismitheoireacht Dhigiteach,Genitorialità digitale,Digitālā audzināšana,Skaitmeninė tėvystė,Ġenituri Diġitali,Cyfrowe rodzicielstwo,Parentalidade Digital,Parenting digital,Digitálne rodičovstvo,Digitalno starševstvo,Crianza digital,Digitalt föräldraskap,Dijital Ebeveynlik,Цифровое родительство,Цифрове батьківство,Digitalt foreldreskap,Digitalt foreldreskap,wrench.svg,SEC_0059,30
CAT_00343,Payments & Processing,Плащания и обработка,Plaćanja i obrada,Platby a zpracování,Betalinger og behandling,Betalingen en verwerking,Maksed ja töötlemine,Maksut ja käsittely,Paiements et traitement,Zahlungen und Abwicklung,Πληρωμές & Επεξεργασία,Kifizetések és feldolgozás,Íocaíochtaí & Próiseáil,Pagamenti ed elaborazione,Maksājumi un apstrāde,Mokėjimai ir apdorojimas,Ħlasijiet u Ipproċessar,Płatności i przetwarzanie,Pagamentos e Processamento,Plăți și procesare,Platby a spracovanie,Plačila in obdelava,Pagos y procesamiento,Betalningar & Bearbetning,Ödemeler ve İşleme,Платежи и обработка,Платежі та обробка,Betalinger og behandling,Betalinger og behandling,wrench.svg,SEC_0063,30
CAT_00348,Retail Banking,Банкиране на дребно,Bankarstvo na malo,Retailové bankovnictví,Retail Banking,Retailbankieren,Jaepangandus,Vähittäispankkitoiminta,Banque de détail,Privatkundengeschäft,Λιανική Τραπεζική,Lakossági banki szolgáltatások,Baincéireacht Mhiondíola,Servizi bancari al dettaglio,Mazumtirdzniecības banku pakalpojumi,Mažmeninė bankininkystė,Servizzi Bankarji bl-Imnut,Bankowość detaliczna,Banco de Varejo,Servicii bancare cu amănuntul,Retailové bankovníctvo,Bančništvo na drobno,Banca minorista,Retail Banking,Perakende Bankacılığı,Розничный банкинг,Роздрібний банкінг,Detaljhandel,Detaljhandel,wrench.svg,SEC_0064,30
CAT_00351,Group Fitness Classes,Групови уроци по фитнес,Grupni tečajevi fitnessa,Skupinové lekce fitness,Gruppetræning,Groepsfitnesslessen,Grupi treeningtunnid,Ryhmäliikuntatunnit,Cours de fitness en groupe,Gruppen-Fitnesskurse,Ομαδικά μαθήματα γυμναστικής,Csoportos fitnesz órák,Ranganna Aclaíochta Grúpa,Corsi di fitness di gruppo,Grupu fitnesa nodarbības,Grupiniai fitneso užsiėmimai,Klassijiet tal-Fitness tal-Grupp,Zajęcia fitness grupowe,Aulas de ginástica em grupo,Cursuri de fitness de grup,Skupinové kurzy fitness,Skupinski tečaji fitnesa,Clases de fitness en grupo,Gruppträningsklasser,Grup Fitness Dersleri,Групповые занятия фитнесом,Групові заняття фітнесом,Gruppetreningstimer,Gruppetreningstimer,wrench.svg,SEC_0065,30
CAT_00362,Specialty,Специалност,Specijalitet,Specialita,Specialitet,Specialiteit,Eriala,Erikoisuus,Spécialité,Spezialität,Ειδικότητα,Különlegesség,Speisialtacht,Specialità,Specialitāte,Specialybė,Speċjalità,Specjalność,Especialidade,Specialitate,Špecialita,Posebnost,Especialidad,Specialitet,Uzmanlık,Специальность,спеціальність,Spesialitet,Spesialitet,wrench.svg,SEC_0066,30
CAT_00365,Timber Products,Изделия от дървен материал,Drveni proizvodi,Výrobky ze dřeva,Træprodukter,Houtproducten,Puittooted,Puutuotteet,Produits du bois,Holzprodukte,Προϊόντα ξυλείας,Fatermékek,Táirgí Adhmaid,Prodotti in legno,Koksnes izstrādājumi,Medienos gaminiai,Prodotti tal-Injam,Produkty drzewne,Produtos de madeira,Produse din lemn,Výrobky z dreva,Izdelki iz lesa,Productos de madera,Träprodukter,Kereste Ürünleri,Изделия из древесины,Вироби з деревини,Tømmerprodukter,Tømmerprodukter,wrench.svg,SEC_0067,30
CAT_00371,eâGov Platforms,eâGov платформи,Platforme eâGov,eâGov Platforms,eâGov platforme,e-Gov-platforms,eâvalitsuse platvormid,eâGov-alustat,Plateformes e-gouvernement,e-Gov-Plattformen,Πλατφόρμες eâGov,eâGov Platforms,Ardáin eâ Gov,Piattaforme e-Gov,eâGov platformas,eâGov platformos,eâPjattaformi tal-Gvern,Platformy e-Gov,Plataformas e-Gov,eâGov Platforme,eâGov Platforms,platforme eâGov,Plataformas de gobierno electrónico,eâGov-plattformar,e-Devlet Platformları,Платформы электронного правительства,Платформи eâGov,eâGov-plattformer,eâGov-plattformer,wrench.svg,SEC_0070,30
CAT_00374,Energy Efficiency Services,Услуги за енергийна ефективност,Usluge energetske učinkovitosti,Služby energetické účinnosti,Energieffektivitetstjenester,Energie-efficiëntiediensten,Energiatõhususe teenused,Energiatehokkuuspalvelut,Services d'efficacité énergétique,Energieeffizienz-Dienstleistungen,Υπηρεσίες Ενεργειακής Απόδοσης,Energiahatékonysági szolgáltatások,Seirbhísí Éifeachtúlachta Fuinnimh,Servizi di efficienza energetica,Energoefektivitātes pakalpojumi,Energijos vartojimo efektyvumo paslaugos,Servizzi ta' Effiċjenza fl-Enerġija,Usługi w zakresie efektywności energetycznej,Serviços de Eficiência Energética,Servicii de eficienta energetica,Služby energetickej účinnosti,Storitve energetske učinkovitosti,Servicios de Eficiencia Energética,Energieffektiviseringstjänster,Enerji Verimliliği Hizmetleri,Услуги по энергоэффективности,Послуги з енергоефективності,Energieffektiviseringstjenester,Energieffektiviseringstjenester,wrench.svg,SEC_0071,30
CAT_00379,Mental Health,Психично здраве,Mentalno zdravlje,Duševní zdraví,Mental sundhed,Mentale gezondheid,Vaimne tervis,Mielenterveys,Santé mentale,Psychische Gesundheit,Ψυχική Υγεία,Mentális egészség,Meabhairshláinte,Salute mentale,Garīgā veselība,Psichikos sveikata,Saħħa Mentali,Zdrowie psychiczne,Saúde mental,Sănătate mintală,Duševné zdravie,Duševno zdravje,Salud mental,Mental hälsa,Ruh Sağlığı,Психическое здоровье,Психічне здоров'я,Mental helse,Mental helse,wrench.svg,SEC_0072,30
CAT_00385,Elderly & Home Care,Възрастни хора и домашни грижи,Starije osobe i kućna njega,Péče o seniory a domácí péče,Ældre & Hjemmepleje,Ouderen- en thuiszorg,Eakad ja koduhooldus,Vanhukset ja kotihoito,Soins aux personnes âgées et à domicile,Alten- und häusliche Pflege,Φροντίδα Ηλικιωμένων & Κατ' Οίκον,Idősek és otthoni gondozás,Daoine Scothaosta & Cúram Baile,Assistenza agli anziani e domiciliare,Vecāka gadagājuma cilvēku aprūpe un aprūpe mājās,Pagyvenusių žmonių priežiūra ir priežiūra namuose,Anzjani u Kura fid-Dar,Opieka nad osobami starszymi i domowa,Cuidados para Idosos e Domiciliares,Vârstnici și îngrijire la domiciliu,Starostlivosť o seniorov a domácu starostlivosť,Starejši in nega na domu,Cuidado de ancianos y cuidado domiciliario,Äldre & Hemtjänst,Yaşlı ve Evde Bakım,Уход за пожилыми людьми и на дому,Літні люди та догляд на дому,Eldre & Hjemmepleie,Eldre & Hjemmepleie,house.svg,SEC_0073,30
CAT_00390,Exhibitions,Изложби,izložbe,Výstavy,Udstillinger,Tentoonstellingen,Näitused,Näyttelyt,Expositions,Ausstellungen,Εκθέσεις,Kiállítások,Taispeántais,Mostre,Izstādes,Parodos,Wirjiet,Wystawy,Exposições,Expozitii,Výstavy,Razstave,Exposiciones,Utställningar,Sergiler,Выставки,Виставки,Utstillinger,Utstillinger,wrench.svg,SEC_0074,30
CAT_00393,Auto Repair & Service,Автосервиз и ремонт,Popravak i servis automobila,Opravy a servis automobilů,Bil reparation og service,Autoreparatie en -service,Auto remont ja teenindus,Auton korjaus ja huolto,Réparation et entretien automobiles,Autoreparatur und -service,Επισκευή & Service Αυτοκινήτων,Autójavítás és szerviz,Deisiúchán & Seirbhís Auto,Riparazione e assistenza auto,Auto remonts un serviss,Automobilių remontas ir servisas,Tiswija tal-Karozzi u Servizz,Naprawa i serwis samochodów,Reparo e serviço de automóveis,Reparații și service auto,Auto opravy a servis,Popravilo in servis avtomobilov,Reparación y servicio de automóviles,Bilreparationer & Service,Otomobil Tamiri ve Servisi,Авторемонт и обслуживание,Ремонт і обслуговування автомобілів,Bilreparasjon og service,Bilreparasjon og service,wrench.svg,SEC_0075,30
